idDTE,dateEvent
3bc4c739-ec9b-4ea1-92aa-c7a018e0d46e,26/07/2020
c8dff566-313c-40ca-bf1f-62a681af1af2,26/07/2020
5d09f233-fc58-475d-9b50-a3d4eb0358fa,26/07/2020
95fc4c81-3901-4527-b9db-45a2a47ca6d2,26/07/2020
32422eaa-fc99-4cc7-b9fa-abc23b99921a,26/07/2020
39276ca5-2d52-42e2-b505-1691ffc5e157,26/07/2020
46f4d332-680a-41ec-ba48-919610ce7dee,26/07/2020
ac56cbe4-3a48-4152-a154-8e239e4c30a1,26/07/2020
5e52da0b-8a9f-4e2e-a29e-557a7fad03be,26/07/2020
260211b8-80c2-4708-a3ed-a90599a72bf3,26/07/2020
cc04bda7-7f6f-429b-b81f-8a249853f963,26/07/2020
a29985be-5b57-42bb-8fb4-f63c610b85d9,26/07/2020
d0c3d596-9d5a-4712-a9b0-7d76748441e2,26/07/2020
